fixation_type,cell_type,n_files,tau_mean_median_ps_n,tau_mean_median_ps_mean,tau_mean_median_ps_sem,amp_ratio_median_n,amp_ratio_median_mean,amp_ratio_median_sem,tau_phi_ns_n,tau_phi_ns_mean,tau_phi_ns_sem,tau_mod_ns_n,tau_mod_ns_mean,tau_mod_ns_sem,G_cal_wmean_n,G_cal_wmean_mean,G_cal_wmean_sem,S_cal_wmean_n,S_cal_wmean_mean,S_cal_wmean_sem
form,KPCWT,58,58,553.1608059210473,4.410614362100923,58,3.210898183212611,0.027031616772594597,58,1.3178520779300633,0.00797652915759748,58,2.6707970237593637,0.027694148676969645,58,0.4989128392322226,0.0032521783661021964,58,0.3301730075664428,0.0022935092809743813
form,BKO,66,66,556.4745483159567,6.933670751286808,66,3.1430767294813364,0.025908231645369477,66,1.2959827058616105,0.007696476586494851,66,2.6388495014013555,0.01161879567448907,66,0.5045710297841827,0.0016380277787008018,66,0.3284719426558309,0.0016549642092967783
live,KPCWT,270,270,698.2088623557376,5.64054776513286,270,3.0751726594079707,0.027403408787193016,270,1.3190181240064598,0.006390499752447015,270,2.5377461811930737,0.00781959073822835,270,0.514833381321994,0.0016630427274410115,270,0.33999629930551706,0.0007079822578130023
live,BKO,277,277,626.7719850767053,4.149767232296146,277,3.482434428038744,0.021983525621789134,277,1.2215722905073252,0.005606428604120909,277,2.4129584462144025,0.007737603975861528,277,0.5426888523186452,0.001680379188974957,277,0.3320076205309296,0.0006600269075548709
