sdt_filename,fit_set_key,fit_folder,n_components,params_available
7_chromablue_740nm_3042mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c2-b5::7_chromablue_740nm_3042mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-c2-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
7_chromablue_740nm_3042mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b5::7_chromablue_740nm_3042mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-c3-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
7_chromablue_740nm_3042mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::7_chromablue_740nm_3042mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-c3-b7,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-2component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sf-2component-b5,2,"a1, a2, chi2, photons, tau1, tau2"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-3component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sf-3component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c2-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sf-c2-b5,2,"a1, a2, chi2, photons, tau1, tau2"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c2-b7::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sf-c2-b7,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c3-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sf-c3-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-1component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-2component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-2component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-3component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-3component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c1-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-c1-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c2-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-c2-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-c3-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch1\fitet-sz-c3-b7,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-2component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sf-2component-b5,2,"a1, a2, chi2, photons, tau1, tau2"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-3component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sf-3component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c2-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sf-c2-b5,2,"a1, a2, chi2, photons, tau1, tau2"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c2-b7::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sf-c2-b7,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sf-c3-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sf-c3-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-1component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sz-1component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-2component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sz-2component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-3component-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sz-3component-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c1-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sz-c1-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c2-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sz-c2-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b5::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sz-c3-b5,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::8_pollen_890nm_2881mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0001,batch1\fitet-sz-c3-b7,3,"a1, a2, a3, chi2, photons, tau1, tau2, tau3"
9_pollen_890nm_2890mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::9_pollen_890nm_2890mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
9_pollen_890nm_2890mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::9_pollen_890nm_2890mW_u1_poc0p2_10x0p5NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
10_chromablue_740nm_3040mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::10_chromablue_740nm_3040mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
10_chromablue_740nm_3040mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::10_chromablue_740nm_3040mW_u80_poc0_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0001,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::11_urea_740nm_3046mW_u1_poc0_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0001,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
12_urea_740nm_3041mW_u1_poc0p1_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::12_urea_740nm_3041mW_u1_poc0p1_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
12_urea_740nm_3041mW_u1_poc0p1_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::12_urea_740nm_3041mW_u1_poc0p1_20x0p75NA_370s10_g70_z1_256pix_basicFLIM_45f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0003,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1_740nm_3040mW_u1_poc0p2_20x0p75NA_4570s50_g70_z1_256pix_basicFLIM_120f_0003,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::13_KPC_live_posn1b_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sz-c2-b10::14_KPC_live_posn2_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002,batch2\fitet-sz-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
15_KPC_live_posn3_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM::batch2\fitet-sf-c2-b10::15_KPC_live_posn3_740nm_3040mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000,batch2\fitet-sf-c2-b10,2,"a1, a2, chi2, photons, tau1, tau2"
