fixation_type,cell_type,session_root,session_date,filename,fit_set_key,em_filter_nm,pockels,objective,usb_atten,frame_index,z_position,n_components,_bin,shift_group,treatment_duration,amp_ratio_median,tau_mean_median_ps,n_px_final,pct_final,amp_ratio_median_gmed,tau_mean_median_ps_gmed,_dist
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0000.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0000,457,0.2,20x0.75NA,1,0,1.0,2,5,shift=0,,3.823026208874325,727.0742726418237,35640,54.4,2.795578133725302,754.8521326913581,2.191300777257655
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006,457,0.25,20x0.75NA,1,6,1.0,2,5,shift=0,,2.239480933627757,929.4811133557492,65174,99.4,2.795578133725302,754.8521326913581,2.2182185757046886
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0010.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0010,457,0.25,20x0.75NA,1,10,1.0,2,5,shift=0,,2.2945430481232503,939.1357596980928,65433,99.8,2.795578133725302,754.8521326913581,2.2500940889213314
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0013.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0013,457,0.25,20x0.75NA,1,13,1.0,2,5,shift=0,,2.298824145842521,941.9323596824426,65392,99.8,2.795578133725302,754.8521326913581,2.272535540181101
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p1_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0000.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p1_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0000,457,0.1,20x0.75NA,1,0,1.0,2,5,shift=0,,3.8778338741366447,757.6000050093326,46938,71.6,2.795578133725302,754.8521326913581,2.286754083318077
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002,457,0.25,20x0.75NA,1,2,1.0,2,5,shift=0,,2.101583365127814,926.8231392326384,64867,99.0,2.795578133725302,754.8521326913581,2.362846184688714
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0009,457,0.2,20x0.75NA,1,9,1.0,2,5,shift=0,,3.89476020219455,705.5964886968023,44955,68.6,2.795578133725302,754.8521326913581,2.382189666225721
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0003.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedposns_0003,457,0.2,20x0.75NA,1,3,1.0,2,5,shift=0,,3.97801878716801,748.5701369686406,58985,90.0,2.795578133725302,754.8521326913581,2.4991472704532276
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0011.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0011,457,0.2,20x0.75NA,1,11,1.0,2,5,shift=0,,4.007479745890811,731.1666812731347,61936,94.5,2.795578133725302,754.8521326913581,2.5731607630464466
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedtwicePos10_0007.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_overloadedtwicePos10_0007,457,0.2,20x0.75NA,1,7,1.0,2,5,shift=0,,4.037256693977268,719.3315963998166,48920,74.6,2.795578133725302,754.8521326913581,2.651155581078794
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0005,457,0.2,20x0.75NA,1,5,1.0,2,5,shift=0,,4.050544932937019,724.8053126949222,64043,97.7,2.795578133725302,754.8521326913581,2.6711522862568655
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0022.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0022,457,0.2,20x0.75NA,1,22,1.0,2,5,shift=0,,4.055777702774446,720.2031501667846,53264,81.3,2.795578133725302,754.8521326913581,2.688562387778413
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0020.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0020,457,0.2,20x0.75NA,1,20,1.0,2,5,shift=0,,4.055055217629443,711.6621289877395,37240,56.8,2.795578133725302,754.8521326913581,2.701373478490468
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009,457,0.25,20x0.75NA,1,9,1.0,2,5,shift=0,,1.9679657553753271,950.6012303449528,64946,99.1,2.795578133725302,754.8521326913581,2.7396383182969783
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003,457,0.25,20x0.75NA,1,3,1.0,2,5,shift=0,,1.9277362462431544,944.4746959564789,64690,98.7,2.795578133725302,754.8521326913581,2.745178319207494
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0012.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0012,457,0.25,20x0.75NA,1,12,1.0,2,5,shift=0,,2.0037982928133173,959.4227769370788,65208,99.5,2.795578133725302,754.8521326913581,2.767046857182639
live,KPCWT,20260601_KPC_live_on_SLIM,20260601,11_KPCWT_130uL_live_740nm_3076mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260601_KPC_live_on_SLIM::fitet-sz-c2-b5::11_KPCWT_130uL_live_740nm_3076mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000,457,0.25,20x0.75NA,1,0,1.0,2,5,shift=0,,1.587332860936843,855.9049816668594,64915,99.1,2.795578133725302,754.8521326913581,2.7752419983858716
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0018.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0018,457,0.2,20x0.75NA,1,18,1.0,2,5,shift=0,,4.098152534343913,698.3789115404763,52003,79.4,2.795578133725302,754.8521326913581,2.8185072267682054
live,KPCWT,20260508_KPC_live_on_SLIM,20260508,3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0017.sdt,20260508_KPC_live_on_SLIM::fitet-sz-c2-b5::3_KPCWTlive_740nm_3033mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_120f_0017,457,0.2,20x0.75NA,1,17,1.0,2,5,shift=0,,4.155089683217982,753.6181792560268,10119,15.4,2.795578133725302,754.8521326913581,2.8723722128828544
live,KPCWT,20260530_KPC_live_on_SLIM,20260530,5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260530_KPC_live_on_SLIM::fitet-sz-c2-b5::5_KPCWT_BKOCO2_P6_D6_live_740nm_3074mW_u1_poc0p25_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004,457,0.25,20x0.75NA,1,4,1.0,2,5,shift=0,,1.7283245100445257,941.938602661082,65029,99.2,2.795578133725302,754.8521326913581,3.02449988676538
