filename,session_root,fixation_type,cell_type,em_filter_nm,position_annotation,acquisition_time,n_px_total,n_px_masked,otsu_thresh,G_cal_mean,S_cal_mean,G_cal_wmean,S_cal_wmean,G_cal_std,S_cal_std,M_wmean,tau_phi_ns,tau_mod_ns
3_KPCWTformP4num4_pos7_740nm_3037mW_u1_poc0p2_20x0p75NA_475s50_g70_z1_256pix_basicFLIM_30f_0012.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,457,single cell,2026-04-30 09:48:40.542150,65536,32624,4.705070420050506,0.2552710165440526,0.188216760918731,0.31917335229359234,0.20714867971133757,0.3666751651910699,0.3047611887724504,0.38050256808657673,1.2911767263034546,4.835160747600834
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0000.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,no_cells,2026-04-30 09:58:15.007702,65536,32768,11.597698857438928,0.27731610198569145,0.2550072134544954,0.3123381536265705,0.2753493604546174,0.21338522945716307,0.17172289066021784,0.41638010580912965,1.7538367985431567,4.344053109969282
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0001.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,no_cells,2026-04-30 09:59:06.976839,65536,32765,11.724414332370316,0.3152661318715095,0.2929123507362627,0.32038598747909675,0.3011172061043744,0.21854250610194428,0.1705406384405614,0.4396802847354658,1.8697872907386048,4.0639104816835205
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0002.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,no_cells,2026-04-30 09:59:58.916189,65536,32767,10.749826174151652,0.39106690535828825,0.31142534384479353,0.40408860327480783,0.3148863179652528,0.20189541858067703,0.15275366798251247,0.5122899496752784,1.5502699658574062,3.3351294434689644
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0003.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,no_cells,2026-04-30 10:00:51.589983,65536,5748,60.182834673571,0.24916587053045042,0.28831733833447176,0.25282423365854273,0.290676971571138,0.11660620427403595,0.08744654729034083,0.38524433146614573,2.2872944277866383,4.76549863288965
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0004.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,no_cells,2026-04-30 10:01:43.557943,65536,3709,76.6495999064597,0.3092271445557323,0.30425978223132943,0.3249400352476955,0.307484479277121,0.12215450910868074,0.07981886513322767,0.4473619692185466,1.8825656079777542,3.9772239490478785
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0005.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 10:02:35.588501,65536,32137,3.410647876428393,0.20796318113625586,0.1839947434263002,0.25191972891062536,0.20188306177218482,0.4375979158892777,0.37804904162528535,0.3228317215592587,1.5942919271602982,5.832497291335571
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0006.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 10:03:27.884642,65536,31933,2.9913793591740463,0.2088879676668065,0.18064386063270052,0.33718053607692183,0.2272343579940659,0.4572993254991609,0.39241207939622086,0.40660320628604946,1.3407309825713967,4.470105209261608
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0007.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 10:04:19.461562,65536,32231,3.4589245081942472,0.26120115405398625,0.18263829371174448,0.3681668025459962,0.21671406545335578,0.42562931796111464,0.3578322185295843,0.42721397526563193,1.1710423955909577,4.210420242054552
3_KPCWTformP4num4_740nm_3037mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_90f_0008.sdt,20260429_KPC_fixed_dishes_on_SLIM,form,KPCWT,535,single_cell,2026-04-30 10:05:12.073715,65536,32398,3.883705843813845,0.22936593798309338,0.19511372480359654,0.29210076400333723,0.2164640158759452,0.40669275761510326,0.3501011704792137,0.36356502375843963,1.4742908258785647,5.0975676100302705
